conversion_certificate,deed_from_previous_owner,electricity_connection,electricity_connection_detail,encumberence_certificate,is_the_plot_free_of_any_legal_issues,revenue_document,road_available,road_available_detail,sewage_connection,sewage_connection_detail,title_deed,title_deed_detail,water_connection,water_connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_available,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
,,,,,,,,,,,,,,,"Power Back Up, Security, Vaastu Compliant, CCTV Camera, Kids play area",Yes,Yes,45 X 32,10,5,Rajarhat,2.0,23.0,1,1597.0,New Property,Residential Land / Plot,1,1,0,30.0,1440.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,60 X 60,5,4,Action Area 3,1.0,60.5,1,1681.0,New Property,Residential Land / Plot,1,1,0,8.0,3600.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Water Board,,No,No,,19,,Joka,2.0,1.4,1,194.0,New Property,Residential Land / Plot,0,1,0,25.0,720.0
No,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,49.2 X 32.8,2,4,Action Area 3,1.0,90.0,1,5574.0,Resale,Residential Land / Plot,0,1,0,13.0,1615.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,42 X 40,5,Congo,Badu,4.0,9.5,1,565.0,Resale,Residential Land / Plot,1,1,0,3.0,1680.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,,1,,Belghoria,2.0,16.5,1,1941.0,Resale,Residential Land / Plot,0,0,0,2.0,850.0
,,,,,,,,,,,,,,,,No,No,32 X 45,7,,Joka,1.0,5.0,1,347.0,New Property,Residential Land / Plot,1,1,0,5.0,1440.0
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Conveyance Deed,Yes,,,No,No,86.6 X 41.3,0,Congo,Cossipore,4.0,45.0,1,1613.0,Resale,Residential Land / Plot,0,0,0,10.0,2790.0
,,,,,,,,,,,,,,,,No,No,,7,1,Howrah,1.0,55.0,1,2644.0,Resale,Residential Land / Plot,0,0,0,3.0,2080.0
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,,2,3,Joka,3.0,2.0,1,139.0,Resale,Residential Land / Plot,0,0,0,25.0,1440.0
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Mud Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,"Security, Water Storage, Waste Disposal, Kids Play Area",No,No,,3,Congo,Thakurpukur,3.0,2.7,1,188.0,Resale,Residential Land / Plot,0,0,0,25.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,No,No,84.99 X 48.24,3,1,Ashoknagar,3.0,25.0,1,610.0,Resale,Residential Land / Plot,1,0,0,10.0,4100.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,40 X 18,9,Congo,Joka,2.0,1.4,1,194.0,Resale,Residential Land / Plot,1,1,0,25.0,720.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,,,No,No,,2,3,Singur Nasibpur Road,2.0,300.0,1,694.0,Resale,Residential Land / Plot,0,0,0,3.0,43200.0
