Conversion Certificate,Deed from Previous Owner,Electricity Connection,Electricity Connection_detail,Encumberence Certificate,Is the plot free of any legal issues?,Revenue Document,Road Available,Road Available_detail,Sewage Connection,Sewage Connection_detail,Title Deed,Title Deed_detail,Water Connection,Water Connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open-sides,overlooking,ownership,plot-area,price,price_available,price_per_sqft,transaction,type,width-road-facing
,,,,,,,,,,,,,,,"Power Back Up, Security, Vaastu Compliant, CCTV Camera, Kids play area",Yes,Yes,45 X 32,10,5,"Rajarhat, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,23 Lac,1,1597.00,New Property,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,60 X 60,5,4,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Freehold,3600 sqft,60.5 Lac,1,1681.00,New Property,Residential Land / Plot,8 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Water Board,,No,No,,19,,"Joka, Kolkata",2.00,Main Road,Freehold,720 sqft,1.4 Lac,1,194.00,New Property,Residential Land / Plot,25 m
No,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,0,49.2 X 32.8,2,4,"Action Area 3, Kolkata",1.00,Main Road,Freehold,1615 sqft,90 Lac,1,5574.00,Resale,Residential Land / Plot,13 m
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,42 X 40,5,Congo,"Badu, Kolkata",4.00,"Garden/Park, Main Road",Freehold,1680 sqft,9.5 Lac,1,565.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,,,,1,,"Action Area 3, Kolkata",,,Freehold,1440 sqft,1.05 Cr,1,7293.00,New Property,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,0,,1,,"Belghoria, Kolkata",2.00,,Freehold,850 sqft,16.5 Lac,1,1941.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,No,No,32 X 45,7,,"Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1440 sqft,5 Lac,1,347.00,New Property,Residential Land / Plot,5 m
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Conveyance Deed,Yes,,,No,No,86.6 X 41.3,0,Congo,"Cossipore, Kolkata",4.00,,Freehold,2790 sqft,45 Lac,1,1613.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,7,1,"Howrah, Kolkata",1.00,,Freehold,2080 sqft,55 Lac,1,2644.00,Resale,Residential Land / Plot,3 m
