boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
Yes,Yes,45 X 32,10,5,Rajarhat,2,23,1597,New Property,Residential Land / Plot,1,1,0,30,1440
Yes,Yes,60 X 60,5,4,Action Area 3,1,60.5,1681,New Property,Residential Land / Plot,1,1,0,8,3600
No,No,,19,,Joka,2,1.4,194,New Property,Residential Land / Plot,0,1,0,25,720
Yes,No,49.2 X 32.8,2,4,Action Area 3,1,90,5574,Resale,Residential Land / Plot,0,1,0,13,1615
No,No,42 X 40,5,Congo,Badu,4,9.5,565,Resale,Residential Land / Plot,1,1,0,3,1680
Yes,No,,1,,Belghoria,2,16.5,1941,Resale,Residential Land / Plot,0,0,0,2,850
No,No,32 X 45,7,,Joka,1,5,347,New Property,Residential Land / Plot,1,1,0,5,1440
No,No,86.6 X 41.3,0,Congo,Cossipore,4,45,1613,Resale,Residential Land / Plot,0,0,0,10,2790
No,No,,7,1,Howrah,1,55,2644,Resale,Residential Land / Plot,0,0,0,3,2080
No,No,,2,3,Joka,3,2,139,Resale,Residential Land / Plot,0,0,0,25,1440
No,No,,3,Congo,Thakurpukur,3,2.7,188,Resale,Residential Land / Plot,0,0,0,25,1440
No,No,84.99 X 48.24,3,1,Ashoknagar,3,25,610,Resale,Residential Land / Plot,1,0,0,10,4100
No,No,40 X 18,9,Congo,Joka,2,1.4,194,Resale,Residential Land / Plot,1,1,0,25,720
No,No,,2,3,"Singur, Nasibpur Road",2,300,694,Resale,Residential Land / Plot,0,0,0,3,43200
Yes,No,,9,,Sonarpur,2,35.1,595,Resale,Residential Land / Plot,0,0,0,10,5895
No,No,,1,Congo,Nazirabad,3,8.5,472,Resale,Residential Land / Plot,0,0,0,45,1800
Yes,No,,5,2,Debendra Pally,2,40,588,Resale,Residential Land / Plot,1,0,0,10,6806
Yes,No,,4,1,Baruipur,4,210,1458,New Property,Residential Land / Plot,1,1,0,10,14400
No,No,,1,,Bhasa,4,70,648,Resale,Residential Land / Plot,0,0,0,9,10800
Yes,Yes,,13,2,Joka,2,1.6,111,Resale,Residential Land / Plot,0,0,0,20,1440
No,No,81 X 53.58,4,,Joka,,15,346,Resale,Residential Land / Plot,1,1,0,,4340
No,No,,0,20,Bagnan,4,45,2066,Resale,Residential Land / Plot,0,0,0,10,2178
No,No,,0,Congo,Baruipur,1,16,556,Resale,Residential Land / Plot,0,0,0,10,2880
Yes,No,47 X 33,0,,Sodepur,2,24.5,1701,Resale,Residential Land / Plot,0,0,0,3,1440
No,No,429 X 295,0,2,Hooghly,2,7.5,521,Resale,Residential Land / Plot,0,1,0,4,1440
Yes,No,,1,3,Nayabad,2,60,4167,Resale,Residential Land / Plot,0,0,0,7,1440
No,No,,1,Congo,Sonarpur,1,16,1067,Resale,Residential Land / Plot,0,0,0,10,1500
No,No,,1,Congo,Sarsuna,2,45,1250,Resale,Residential Land / Plot,0,0,0,32,3600
No,No,,0,,Jagatdal,2,10,694,Resale,Residential Land / Plot,0,0,0,3,1440
No,No,,7,1,Howrah,1,55,2644,Resale,Residential Land / Plot,0,0,0,3,2080
Yes,Yes,,0,5,Terita Bazar,,150,1488,Resale,Residential Land / Plot,0,0,0,,10080
No,No,,0,3,Batanagar,3,15,694,Resale,Residential Land / Plot,0,0,0,2,2160
Yes,No,,4,3,"International Airport, Dum Dum, Jessore Road",2,58,4028,Resale,Residential Land / Plot,0,1,0,14,1440
No,No,,1,6,Rajpur,3,65,1290,Resale,Residential Land / Plot,0,0,0,5,5040
Yes,No,88.99 X 46.97,1,3,"Anandapuri, Barrackpore",1,110,2632,Resale,Residential Land / Plot,0,0,0,3,4180
Yes,No,,1,,"New Garia, Garia",1,60,3509,Resale,Residential Land / Plot,0,1,0,5,1710
Yes,Yes,,4,,Joka,1,1.6,222,Resale,Residential Land / Plot,0,0,0,8,720
No,Yes,966 X 1073,11,4,Action Area 3,4,17,1181,New Property,Residential Land / Plot,1,1,0,20,1440
No,No,,3,Congo,Baranagar,2,35,2160,Resale,Residential Land / Plot,0,0,0,10,1620
No,No,81 X 53.58,4,,Joka,,15,346,Resale,Residential Land / Plot,1,1,0,,4340
Yes,No,,0,4,Sonarpur,,15,694,Resale,Residential Land / Plot,0,0,0,,2160
No,No,,0,,"Kankulia, Dhakuria",4,1500,3472,Resale,Residential Land / Plot,0,0,0,10,43200
No,Yes,24 X 30.42,20,,Joka,2,3.6,492,New Property,Residential Land / Plot,1,1,0,15,730
No,No,,0,,Birati,,100,2778,New Property,Residential Land / Plot,0,0,0,,3600
No,No,80 X 40,2,5,New Town,2,187,5844,Resale,Residential Land / Plot,1,1,0,20,3200
No,No,80 X 40,2,5,New Town,2,187,5844,Resale,Residential Land / Plot,0,1,0,20,3200
Yes,No,,0,,Duillya,2,27,1484,Resale,Residential Land / Plot,0,0,0,4,1820
No,No,,1,,Joka,1,3.5,486,Resale,Residential Land / Plot,0,0,0,4,720
No,No,,1,,Bantala,,280,1051,New Property,Residential Land / Plot,0,1,0,,26640
No,No,53 X 38,0,3,"Narendrapur, Rajpur Sonarpur",2,30,1490,Resale,Residential Land / Plot,0,1,0,10,2014
No,No,,6,Congo,Joka,1,11,382,Resale,Residential Land / Plot,0,0,0,20,2880
Yes,No,,0,1,Rajarhat,,200,2525,Resale,Residential Land / Plot,0,0,0,,7921
No,No,120 X 120,7,3,Bisharpara,3,68,472,Resale,Residential Land / Plot,0,1,0,10,14400
Yes,No,,0,1,Rishra,,250,1578,Resale,Residential Land / Plot,0,0,0,,15840
Yes,No,,0,3,Howrah,,10,690,Resale,Residential Land / Plot,0,0,0,,1450
No,No,,0,,Habra,4,36,1111,Resale,Residential Land / Plot,0,0,0,2,3240
Yes,Yes,53.7 X 40.2,0,4,Kankurgachi,4,80,3703,Resale,Residential Land / Plot,0,0,0,25,2160
Yes,No,,0,3,"Kamrabad, Narendrapur",2,33,1521,Resale,Residential Land / Plot,0,0,0,3,2169
Yes,No,,4,,New Town,,200,2105,Resale,Residential Land / Plot,0,0,0,,9500
No,No,45 X 32,3,1,Debrupayan Nagar,1,15,1042,Resale,Residential Land / Plot,1,1,0,32,1440
Yes,Yes,160 X 156.25,0,1,"Kamalgazi, Narendrapur",2,350,1400,Resale,Residential Land / Plot,0,0,0,4,25000
No,No,40 X 36,17,,Joka,2,8.5,590,New Property,Residential Land / Plot,1,1,0,15,1440
No,No,,2,Congo,Joka,3,2.5,174,Resale,Residential Land / Plot,0,0,0,20,1440
No,No,,0,1,Metiabruz,1,200,1389,Resale,Residential Land / Plot,0,0,0,1,14400
Yes,Yes,50 X 42,14,4,Joka,2,11.3,538,New Property,Residential Land / Plot,1,1,0,10,2100
Yes,No,,3,15,Pailan,4,15,1042,Resale,Residential Land / Plot,0,0,0,7,1440
